node	x	y	z	addr
50	56.89	 0.82	2	c21e
51	41.892	 0.83	2	cb1f
52	26.3	 0.83	2	c222
53	11.29	 0.83	2	9b8c
54	0.31	 1.08	2	1181
56	0.83	 6.72	2	0aa0
57	11.03	 6.65	2	531e
62	33.9	 3.2	2	1806
63	26.37	 6.67	2	ca3a
64	41.37	 6.67	2	0c8b
65	56.91	 6.8	2	5100
70	55.23	 11.71	2	2e51
71	55.24	 21.3	2	8a91
72	55.23	 31.51	2	11a3
73	48.8	 31.53	2	c7b9
74	48.8	 21.39	2	13a6
75	48.8	 11.78	2	84bb
76	51.97	 16.35	2	1211
77	52.04	 26.48	2	0f8f
