node	anchor	dist	error
3	6	21.130	0.634
3	6	22.387	1.891
3	6	21.984	1.488
3	19	15.713	0.046
3	19	15.727	0.060
3	19	15.647	-0.020
3	19	15.731	0.065
3	19	15.699	0.032
3	19	15.619	-0.048
3	19	15.699	0.032
3	19	15.727	0.060
3	19	15.638	-0.029
3	19	15.708	0.041
3	19	15.802	0.135
3	19	15.670	0.004
3	19	15.609	-0.057
3	31	13.180	0.364
3	31	13.133	0.317
3	31	13.128	0.313
3	31	13.105	0.289
3	31	13.110	0.294
3	31	13.147	0.332
3	31	13.100	0.285
3	31	13.133	0.317
4	7	6.975	-0.085
4	7	6.989	-0.071
4	7	6.984	-0.075
4	7	7.003	-0.057
4	7	7.003	-0.057
4	7	6.970	-0.090
4	7	6.993	-0.066
4	7	6.965	-0.094
4	7	6.979	-0.080
4	7	6.970	-0.090
4	7	6.989	-0.071
4	16	5.816	-0.044
4	16	6.323	0.463
4	16	6.510	0.650
4	16	6.477	0.617
4	16	5.825	-0.035
4	16	5.666	-0.194
4	16	6.477	0.617
4	16	6.515	0.655
4	16	6.294	0.435
4	16	6.529	0.669
4	16	6.506	0.646
4	16	6.491	0.632
4	16	6.290	0.430
4	16	6.299	0.439
4	16	6.524	0.664
4	16	6.280	0.420
4	16	6.262	0.402
4	16	6.510	0.650
4	16	6.238	0.378
4	16	6.491	0.632
4	16	6.501	0.641
4	16	6.529	0.669
4	16	6.496	0.636
4	16	6.515	0.655
4	16	6.097	0.238
4	16	6.477	0.617
4	16	6.243	0.383
4	23	16.454	0.143
4	23	16.454	0.143
4	23	16.472	0.162
4	23	16.468	0.157
4	23	16.472	0.162
4	23	16.430	0.120
4	23	16.468	0.157
4	23	16.482	0.171
4	25	10.488	0.409
4	25	10.211	0.133
4	25	10.352	0.273
4	25	10.403	0.325
4	25	10.309	0.231
4	25	10.492	0.414
4	25	10.478	0.400
4	25	10.427	0.348
4	25	10.370	0.292
4	25	10.497	0.419
4	36	16.571	0.023
4	36	16.585	0.037
4	36	16.543	-0.005
4	36	16.585	0.037
4	36	16.566	0.018
4	36	16.580	0.033
4	36	16.566	0.018
4	36	16.533	-0.014
4	36	16.543	-0.005
4	36	16.590	0.042
4	36	16.562	0.014
4	36	16.585	0.037
4	10	8.429	-0.023
4	10	8.372	-0.079
4	10	8.377	-0.074
4	10	8.349	-0.102
4	10	8.419	-0.032
4	10	8.382	-0.070
4	10	8.391	-0.060
4	10	8.358	-0.093
4	10	8.358	-0.093
4	10	8.400	-0.051
4	10	8.354	-0.098
4	10	8.400	-0.051
4	10	8.316	-0.135
4	10	8.354	-0.098
4	10	8.372	-0.079
4	10	8.405	-0.046
4	10	8.377	-0.074
4	34	15.567	0.370
4	34	15.183	-0.014
4	34	15.455	0.258
4	34	16.116	0.919
4	34	15.436	0.239
4	34	15.483	0.286
4	34	15.985	0.788
5	15	10.258	0.011
5	15	10.277	0.030
5	15	10.291	0.044
5	15	10.333	0.086
5	15	10.328	0.082
5	15	10.295	0.049
5	15	10.356	0.110
5	15	10.305	0.058
5	15	10.244	-0.003
5	15	10.384	0.138
5	15	10.272	0.025
5	15	10.291	0.044
5	21	12.514	-0.085
5	21	12.523	-0.076
5	21	12.495	-0.104
5	21	12.504	-0.094
5	21	12.509	-0.090
5	21	12.500	-0.099
5	21	12.519	-0.080
5	21	12.500	-0.099
5	21	12.495	-0.104
5	21	12.528	-0.071
5	21	12.500	-0.099
5	32	8.884	-0.147
5	32	8.869	-0.161
5	32	8.874	-0.157
5	32	8.851	-0.180
5	32	8.874	-0.157
5	32	8.855	-0.175
5	32	8.827	-0.203
5	32	8.874	-0.157
5	32	8.841	-0.189
5	32	8.855	-0.175
5	32	8.827	-0.203
5	32	8.898	-0.133
5	32	8.865	-0.166
5	32	8.874	-0.157
5	35	6.116	-0.270
5	35	6.121	-0.265
5	35	6.126	-0.261
5	35	6.093	-0.293
5	35	6.163	-0.223
5	35	6.182	-0.204
5	35	6.130	-0.256
5	35	6.182	-0.204
5	35	6.135	-0.251
5	35	6.135	-0.251
5	35	6.130	-0.256
5	35	6.172	-0.214
5	14	10.713	-0.163
5	14	10.680	-0.195
5	14	10.708	-0.167
5	14	10.671	-0.205
5	14	10.736	-0.139
5	14	10.736	-0.139
5	14	10.708	-0.167
5	14	10.732	-0.144
5	14	10.703	-0.172
5	14	10.741	-0.134
5	14	10.722	-0.153
5	14	10.717	-0.158
5	14	10.703	-0.172
5	14	10.713	-0.163
5	14	10.699	-0.177
5	14	10.699	-0.177
5	14	10.713	-0.163
5	14	10.694	-0.181
5	14	10.755	-0.120
5	14	10.685	-0.191
5	14	10.699	-0.177
5	14	10.685	-0.191
5	14	10.671	-0.205
5	19	6.871	-0.282
5	19	6.871	-0.282
5	19	6.857	-0.296
5	19	6.867	-0.287
5	19	6.881	-0.273
5	19	6.867	-0.287
5	19	6.876	-0.278
5	19	6.871	-0.282
5	19	6.885	-0.268
5	19	6.871	-0.282
5	22	13.410	-0.070
5	22	13.447	-0.032
5	22	13.461	-0.018
5	22	13.452	-0.027
5	22	13.405	-0.074
5	22	13.471	-0.009
5	22	13.443	-0.037
5	22	13.433	-0.046
5	22	13.461	-0.018
7	8	15.961	0.104
7	8	16.008	0.151
7	8	15.975	0.118
7	8	15.933	0.076
7	8	16.013	0.155
7	8	15.957	0.099
7	8	16.003	0.146
7	8	15.966	0.108
7	8	15.961	0.104
7	8	16.008	0.151
7	8	16.013	0.155
7	16	10.131	0.169
7	16	10.103	0.141
7	16	10.183	0.220
7	16	10.136	0.173
7	16	10.155	0.192
7	16	10.112	0.150
7	16	10.155	0.192
7	16	10.117	0.155
7	16	10.159	0.197
7	16	10.150	0.188
7	16	10.173	0.211
7	23	10.567	0.229
7	23	10.445	0.107
7	23	10.488	0.149
7	23	10.464	0.126
7	23	10.474	0.135
7	23	10.506	0.168
7	23	10.413	0.074
7	23	10.469	0.130
7	24	20.956	-0.128
7	24	20.975	-0.109
7	24	20.985	-0.100
7	24	20.985	-0.100
7	24	20.999	-0.086
7	24	20.994	-0.091
7	24	21.017	-0.067
7	24	21.022	-0.063
7	25	6.839	-0.033
7	25	6.890	0.018
7	25	6.824	-0.048
7	25	6.853	-0.019
7	25	6.801	-0.071
7	25	6.890	0.018
7	25	6.848	-0.024
7	25	6.853	-0.019
7	25	6.834	-0.038
7	25	6.839	-0.033
7	36	15.333	0.342
7	10	9.479	-0.160
7	10	9.484	-0.156
7	10	9.512	-0.128
7	10	9.498	-0.142
7	10	9.498	-0.142
7	10	9.484	-0.156
7	10	9.526	-0.114
7	10	9.517	-0.123
7	10	9.493	-0.146
7	10	9.512	-0.128
7	10	9.498	-0.142
7	10	9.507	-0.132
7	10	9.493	-0.146
7	10	9.507	-0.132
7	10	9.545	-0.095
7	10	9.479	-0.160
7	10	9.517	-0.123
7	31	21.421	-0.002
7	31	21.388	-0.035
7	31	21.350	-0.073
7	31	21.416	-0.007
7	31	21.346	-0.077
7	31	21.341	-0.082
7	31	21.388	-0.035
7	31	21.350	-0.073
7	31	21.369	-0.054
7	34	17.894	0.594
7	34	18.278	0.978
7	34	18.067	0.767
7	34	18.236	0.936
7	34	18.067	0.767
7	34	18.508	1.208
7	34	18.231	0.931
7	34	18.034	0.734
7	34	18.278	0.978
8	16	16.416	0.352
8	16	16.393	0.328
8	16	16.383	0.319
8	16	16.412	0.347
8	16	16.435	0.370
8	16	16.463	0.399
8	16	16.505	0.441
8	16	16.421	0.356
8	16	16.407	0.342
8	16	16.458	0.394
8	16	16.421	0.356
8	16	16.416	0.352
8	16	16.412	0.347
8	16	16.454	0.389
8	16	16.416	0.352
8	16	16.501	0.436
8	16	16.454	0.389
8	16	16.435	0.370
8	16	16.472	0.408
8	23	22.936	1.087
8	24	18.466	-0.019
8	24	18.541	0.056
8	24	18.513	0.028
8	24	18.485	-0.000
8	24	18.527	0.042
8	24	18.499	0.014
8	24	18.522	0.038
8	24	18.527	0.042
8	24	18.485	-0.000
8	24	18.503	0.019
8	24	18.513	0.028
8	25	22.031	-0.112
8	25	22.087	-0.055
8	25	22.106	-0.037
8	25	22.162	0.020
8	25	22.120	-0.023
8	25	22.092	-0.051
8	25	22.096	-0.046
8	25	22.110	-0.032
8	25	22.115	-0.027
8	25	22.110	-0.032
8	29	4.765	-0.104
8	29	4.737	-0.132
8	29	4.751	-0.118
8	29	4.737	-0.132
8	29	4.779	-0.090
8	29	4.803	-0.067
8	29	4.812	-0.057
8	29	4.779	-0.090
8	29	4.798	-0.071
8	29	4.789	-0.081
8	29	4.761	-0.109
8	29	4.742	-0.128
8	29	4.784	-0.086
8	29	4.775	-0.095
8	29	4.798	-0.071
8	29	4.789	-0.081
8	29	4.747	-0.123
8	29	4.812	-0.057
8	29	4.761	-0.109
8	29	4.812	-0.057
8	29	4.812	-0.057
8	36	4.873	-0.038
8	36	4.883	-0.029
8	36	4.892	-0.019
8	36	4.915	0.004
8	36	4.897	-0.015
8	36	4.897	-0.015
8	36	4.883	-0.029
8	36	4.887	-0.024
8	36	4.878	-0.033
8	36	4.892	-0.019
8	36	4.906	-0.005
8	36	4.883	-0.029
8	33	9.723	-0.232
8	33	9.747	-0.208
8	33	9.728	-0.227
8	33	9.732	-0.223
8	33	9.737	-0.218
8	33	9.737	-0.218
8	33	9.723	-0.232
8	33	9.695	-0.260
8	33	9.700	-0.255
8	33	9.714	-0.241
8	33	9.732	-0.223
8	34	13.119	-0.111
8	34	13.081	-0.148
8	34	13.147	-0.082
8	34	13.124	-0.106
8	34	13.095	-0.134
8	34	13.086	-0.143
8	34	13.147	-0.082
8	34	13.124	-0.106
8	34	13.152	-0.078
8	34	13.124	-0.106
8	34	13.114	-0.115
8	34	13.138	-0.092
8	34	13.114	-0.115
8	34	13.105	-0.125
8	34	13.156	-0.073
9	15	15.492	-0.167
9	15	15.520	-0.139
9	15	15.520	-0.139
9	15	15.488	-0.172
9	15	15.506	-0.153
9	15	15.520	-0.139
9	15	15.511	-0.148
9	15	15.502	-0.158
9	15	15.497	-0.163
9	15	15.473	-0.186
9	20	8.602	-0.083
9	20	8.640	-0.045
9	20	8.616	-0.069
9	20	8.607	-0.078
9	20	8.597	-0.088
9	20	8.621	-0.064
9	20	8.621	-0.064
9	20	8.597	-0.088
9	20	8.630	-0.055
9	20	8.621	-0.064
9	21	21.379	0.259
9	21	21.383	0.264
9	21	21.360	0.240
9	21	21.308	0.188
9	21	21.205	0.085
9	21	21.486	0.367
9	21	21.275	0.156
9	21	21.435	0.315
9	21	21.486	0.367
9	21	21.313	0.193
9	24	14.428	1.320
9	24	13.897	0.790
9	24	14.404	1.296
9	24	14.418	1.310
9	24	13.958	0.851
9	24	14.395	1.287
9	24	14.845	1.737
9	24	14.596	1.489
9	37	10.455	-0.404
9	37	10.413	-0.446
9	37	10.394	-0.465
9	37	10.436	-0.422
9	37	10.431	-0.427
9	37	10.506	-0.352
9	37	10.455	-0.404
9	37	10.459	-0.399
9	6	9.667	-0.145
9	6	9.690	-0.121
9	6	9.676	-0.135
9	6	9.662	-0.149
9	6	9.686	-0.126
9	6	9.648	-0.163
9	6	9.671	-0.140
9	6	9.709	-0.102
9	6	9.667	-0.145
9	6	9.662	-0.149
15	20	13.335	0.442
15	20	13.339	0.446
15	20	13.344	0.451
15	20	13.339	0.446
15	20	13.344	0.451
15	20	13.335	0.442
15	20	13.339	0.446
15	20	12.983	0.090
15	20	13.344	0.451
15	20	13.358	0.465
15	20	13.349	0.456
15	20	13.321	0.427
15	21	6.557	0.003
15	21	6.543	-0.011
15	21	6.538	-0.016
15	21	6.524	-0.030
15	21	6.529	-0.025
15	21	6.524	-0.030
15	21	6.562	0.008
15	21	6.520	-0.034
15	21	6.520	-0.034
15	21	6.552	-0.001
15	21	6.552	-0.001
15	35	14.934	-0.038
15	35	14.943	-0.029
15	35	14.906	-0.066
15	35	14.925	-0.048
15	35	14.958	-0.015
15	35	14.995	0.023
15	35	14.948	-0.024
15	35	14.976	0.004
15	35	14.967	-0.005
15	35	14.967	-0.005
15	35	14.958	-0.015
15	6	12.678	-0.129
15	6	12.678	-0.129
15	6	12.725	-0.083
15	6	12.701	-0.106
15	6	12.701	-0.106
15	6	12.701	-0.106
15	6	12.659	-0.148
15	6	12.669	-0.139
15	6	12.659	-0.148
15	6	12.678	-0.129
15	6	12.697	-0.111
15	6	12.659	-0.148
15	19	11.510	-0.025
15	19	11.473	-0.062
15	19	11.482	-0.053
15	19	11.454	-0.081
15	19	11.449	-0.086
15	19	11.477	-0.058
15	19	11.473	-0.062
15	19	11.435	-0.100
15	19	11.505	-0.030
15	19	11.463	-0.072
15	19	11.473	-0.062
15	19	11.477	-0.058
15	19	11.510	-0.025
15	19	11.524	-0.011
15	19	11.473	-0.062
15	19	11.510	-0.025
15	19	11.496	-0.039
15	19	11.473	-0.062
15	19	11.454	-0.081
15	22	11.801	0.071
15	22	11.787	0.057
15	22	11.810	0.080
15	22	11.792	0.062
15	22	11.834	0.104
15	22	11.796	0.066
15	22	11.806	0.076
15	22	11.806	0.076
15	22	11.754	0.024
15	22	11.792	0.062
15	22	11.806	0.076
16	23	20.079	0.062
16	23	20.098	0.081
16	23	20.098	0.081
16	23	20.051	0.034
16	23	20.103	0.086
16	23	20.047	0.029
16	23	20.164	0.147
16	23	20.047	0.029
16	25	14.629	-0.221
16	25	14.610	-0.240
16	25	14.643	-0.207
16	25	14.653	-0.198
16	25	14.634	-0.217
16	25	14.648	-0.203
16	25	14.685	-0.165
16	25	14.648	-0.203
16	25	14.653	-0.198
16	25	14.634	-0.217
16	29	22.012	1.092
16	29	22.401	1.481
16	29	22.415	1.495
16	29	23.062	2.142
16	29	23.470	2.550
16	29	22.884	1.964
16	29	23.067	2.147
16	29	22.167	1.247
16	29	22.237	1.317
16	29	23.480	2.560
16	29	22.298	1.378
16	36	12.486	0.127
16	36	12.472	0.113
16	36	12.476	0.117
16	36	12.500	0.141
16	36	12.533	0.174
16	36	12.467	0.108
16	36	12.453	0.094
16	36	12.504	0.145
16	36	12.509	0.150
16	36	12.504	0.145
16	36	12.542	0.183
16	36	12.486	0.127
16	10	13.883	-0.070
16	10	13.794	-0.159
16	10	13.837	-0.117
16	10	13.822	-0.131
16	10	13.827	-0.127
16	10	13.766	-0.188
16	10	13.846	-0.108
16	10	13.888	-0.066
16	10	13.757	-0.197
16	10	13.790	-0.164
16	10	13.841	-0.112
16	10	13.907	-0.047
16	10	13.846	-0.108
16	10	13.860	-0.094
16	10	13.893	-0.061
16	10	13.874	-0.080
16	10	13.771	-0.183
16	34	9.456	-0.069
16	34	9.460	-0.064
16	34	9.442	-0.083
16	34	9.479	-0.046
16	34	9.451	-0.074
16	34	9.456	-0.069
16	34	9.460	-0.064
16	34	9.456	-0.069
16	34	9.456	-0.069
16	34	9.489	-0.036
16	34	9.428	-0.097
16	34	9.484	-0.041
16	34	9.493	-0.032
16	34	9.460	-0.064
16	34	9.503	-0.022
20	6	15.070	-0.107
20	6	15.065	-0.112
20	6	15.028	-0.149
20	6	15.047	-0.131
20	6	15.037	-0.140
20	6	15.042	-0.135
20	6	15.014	-0.163
20	6	15.089	-0.088
20	6	15.009	-0.168
20	6	15.037	-0.140
20	6	15.084	-0.093
20	6	15.051	-0.126
21	19	16.679	0.009
21	19	16.688	0.018
21	19	16.688	0.018
21	19	16.684	0.013
21	19	16.684	0.013
21	19	16.726	0.055
21	19	16.726	0.055
21	19	16.721	0.051
21	19	16.698	0.027
21	19	16.688	0.018
21	19	16.688	0.018
21	22	6.079	0.128
21	22	6.083	0.132
21	22	6.060	0.109
21	22	6.046	0.095
21	22	6.036	0.085
21	22	6.069	0.118
21	22	6.060	0.109
21	22	6.074	0.123
21	22	6.022	0.071
21	22	6.083	0.132
23	24	17.185	-0.040
23	24	17.185	-0.040
23	24	17.167	-0.058
23	24	17.176	-0.049
23	24	17.096	-0.129
23	24	17.171	-0.054
23	24	17.204	-0.021
23	25	7.392	-0.031
23	25	7.411	-0.013
23	25	7.420	-0.003
23	25	7.439	0.016
23	25	7.397	-0.027
23	25	7.411	-0.013
23	25	7.420	-0.003
23	25	7.430	0.006
23	25	7.430	0.006
23	36	23.119	0.197
23	36	23.123	0.202
23	36	23.142	0.220
23	36	23.123	0.202
23	36	23.114	0.192
23	36	23.142	0.220
23	36	23.105	0.183
23	36	23.166	0.244
23	36	23.105	0.183
23	10	12.753	-0.120
23	10	12.739	-0.134
23	10	12.706	-0.167
23	10	12.828	-0.045
23	10	12.772	-0.102
23	10	12.748	-0.125
23	10	12.753	-0.120
23	10	12.744	-0.130
23	10	12.744	-0.130
23	10	12.716	-0.158
23	10	12.725	-0.148
23	10	12.734	-0.139
23	10	12.730	-0.144
23	10	12.795	-0.078
23	10	12.786	-0.087
23	31	12.894	0.198
23	31	12.884	0.188
23	31	12.861	0.165
23	31	12.950	0.254
23	31	12.866	0.169
23	31	12.880	0.183
23	31	12.898	0.202
23	31	12.884	0.188
23	31	12.870	0.174
24	25	23.161	-0.082
24	25	23.119	-0.125
24	25	23.161	-0.082
24	25	23.152	-0.092
24	25	23.142	-0.101
24	25	23.147	-0.096
24	25	23.161	-0.082
24	25	23.147	-0.096
24	25	23.147	-0.096
24	37	10.356	-0.125
24	37	10.380	-0.101
24	37	10.375	-0.106
24	37	10.413	-0.068
24	37	10.347	-0.134
24	37	10.366	-0.115
24	37	10.375	-0.106
24	37	10.394	-0.087
24	37	10.394	-0.087
24	37	10.319	-0.162
24	37	10.389	-0.092
24	37	10.380	-0.101
24	37	10.384	-0.097
24	37	10.413	-0.068
24	37	10.398	-0.082
24	37	10.375	-0.106
24	37	10.398	-0.082
24	37	10.356	-0.125
24	37	10.408	-0.073
24	37	10.366	-0.115
24	31	11.224	-0.042
24	31	11.238	-0.027
24	31	11.215	-0.051
24	31	11.196	-0.070
24	31	11.233	-0.032
24	31	11.201	-0.065
24	31	11.229	-0.037
24	31	11.219	-0.046
24	31	11.224	-0.042
24	33	18.325	0.026
24	33	18.306	0.007
24	33	18.330	0.030
24	33	18.306	0.007
24	33	18.381	0.082
24	33	18.363	0.063
24	33	18.414	0.115
24	33	18.353	0.054
24	33	18.302	0.002
25	10	5.399	-0.153
25	10	5.385	-0.167
25	10	5.408	-0.143
25	10	5.347	-0.204
25	10	5.370	-0.181
25	10	5.380	-0.172
25	10	5.342	-0.209
25	10	5.361	-0.190
25	10	5.380	-0.172
25	10	5.408	-0.143
32	35	10.567	0.184
32	35	10.549	0.166
32	35	10.553	0.170
32	35	10.577	0.194
32	35	10.553	0.170
32	35	10.563	0.180
32	35	10.539	0.156
32	35	10.549	0.166
32	35	10.535	0.152
32	35	10.586	0.203
32	35	10.567	0.184
32	14	5.127	0.004
32	14	5.122	-0.000
32	14	5.127	0.004
32	14	5.164	0.042
32	14	5.084	-0.038
32	14	5.070	-0.052
32	14	5.159	0.037
32	14	5.117	-0.005
32	14	5.070	-0.052
32	14	5.136	0.014
32	14	5.094	-0.028
32	14	5.155	0.033
32	14	5.089	-0.033
32	14	5.159	0.037
32	14	5.112	-0.010
32	14	5.094	-0.028
32	14	5.089	-0.033
32	14	5.122	-0.000
32	14	5.127	0.004
32	19	9.362	0.008
32	19	9.353	-0.001
32	19	9.353	-0.001
32	19	9.367	0.013
32	19	9.362	0.008
32	19	9.343	-0.011
32	19	9.315	-0.039
32	19	9.376	0.022
32	19	9.353	-0.001
32	19	9.367	0.013
32	19	9.353	-0.001
32	19	9.395	0.041
32	19	9.367	0.013
32	19	9.367	0.013
32	22	22.002	0.124
32	22	21.956	0.078
32	22	21.913	0.035
32	22	21.974	0.096
32	22	21.998	0.120
32	22	21.984	0.106
32	22	21.946	0.068
32	22	22.012	0.134
32	22	21.970	0.092
32	22	21.979	0.101
32	22	21.960	0.082
32	22	22.007	0.129
32	22	21.956	0.078
32	22	21.993	0.115
35	14	8.837	-0.058
35	14	8.804	-0.091
35	14	8.799	-0.095
35	14	8.799	-0.095
35	14	8.841	-0.053
35	14	8.827	-0.067
35	14	8.832	-0.062
35	14	8.846	-0.048
35	14	8.860	-0.034
35	14	8.827	-0.067
35	14	8.808	-0.086
35	14	8.827	-0.067
35	14	8.799	-0.095
35	14	8.813	-0.081
35	14	8.823	-0.072
35	14	8.757	-0.137
35	14	8.804	-0.091
35	14	8.771	-0.123
35	14	8.823	-0.072
35	14	8.799	-0.095
35	19	13.100	-0.047
35	19	13.081	-0.065
35	19	13.100	-0.047
35	19	13.081	-0.065
35	19	13.100	-0.047
35	19	13.119	-0.028
35	19	13.110	-0.037
35	19	13.086	-0.061
35	19	13.110	-0.037
35	19	13.138	-0.009
35	19	13.124	-0.023
35	19	13.110	-0.037
35	22	12.636	-0.095
35	22	12.659	-0.072
35	22	12.631	-0.100
35	22	12.640	-0.091
35	22	12.608	-0.123
35	22	12.636	-0.095
35	22	12.626	-0.105
35	22	12.673	-0.058
35	22	12.664	-0.067
35	22	12.636	-0.095
35	22	12.650	-0.081
35	22	12.650	-0.081
36	33	14.005	-0.094
36	33	13.987	-0.113
36	33	14.038	-0.061
36	33	13.968	-0.132
36	33	13.991	-0.108
36	33	14.029	-0.071
36	33	14.005	-0.094
36	33	14.015	-0.085
36	33	14.005	-0.094
36	33	14.029	-0.071
36	34	8.128	-0.193
36	34	8.133	-0.188
36	34	8.147	-0.174
36	34	8.142	-0.179
36	34	8.166	-0.155
36	34	8.142	-0.179
